"ko","en"
"사전선거운동","Premature Campaigning / Campaign before Election Period"
"사직(사임)","Resignation"
"사회문화위원회","Social and Cultural Committee"
"사회법제과","Social Legislation Division"
"사회예산분석팀","Social Budget Analysis Team"
"사회정책수석","Senior Secretary to the President for Social Policy"
"사회행정사업평가팀","Social & Administrative Programs Evaluation Team"
"산림조합중앙회(NFCF)","National Forestry Cooperatives Federation"
"산림청","Forest Service"
"산업법제과","Industrial Legislation Division"
"산업사업평가팀","Industrial Programs Evaluation Team"
"산업연구원(KIET)","Korea Institute for Industrial Economics & TrKorea Institute for Industrial Economics & Trade"
"산업예산분석팀","Industrial Budget Analysis Team"
"산업인력관리공단(HRDKorea)","Human Resources Development Service of Korea"
"산업자원부","Ministry of Commerce, Industry and Energy"
"산업자원위원회","Commerce, Industry and Energy Committee"
"산회","Adjournment"
"상설특위","Permanent Special Committees"
"상임운영위","Standing Steering Committee"
"상임위원","Standing Committee Member"
"상임위원장","Chairman of the Standing Committee"
"상임위원회","Standing Committee"
"상임위원회","Standing Committee"
"상임위원회","Standing Committee"
"상임이사국","Permanent Member (PM)"
"상정","Presentation / Putting Bill on the Agenda"
"새정치국민회의(NCNP)","National Congress for New Politics"
"새천년민주당(MDP)","Millennium Democratic Party"
"색인","Index"
"색인과","Indexing Division"
"서고","Stacks"
"서기(8급)","Grade 8 / Grade-VIII Official"
"서기관(4급)","Grade 4 / Grade-IV Official"
"서기보(9급)","Grade 9 / Grade-IX Official"
"서면동의","Written Motion / Motion in Writing"
"서면질문","Written Questions"
"서명","Signature"
"서울지방항공청","Seoul Regional Aviation Administration"
"석박사학위석박사학위논문실","Doctoral & Master's Theses Reading Room"
"선거","Election"
"선거구","Electoral District / Constituency"
"선거구민","Constituent / Electorate"
"선거방해","Campaign Obstruction"
"선거법위반","Election Law Violation / Violation of the Election Law"
"선거연령","Voting Age"
"선거연설","Campaign Speech"
"선거운동","Election Campaign"
"선거운동원(사무원)","Campaign Worker / Campaign Volunteer / Campaigner"
"선거인명부","Voters' List / Poll Book"
"선거자금","Campaign Fund / Campaign Money"
"선거전략","Campaign Strategy"
"선거참모","Campaign Strategist"
"설비과","Maintenance Division"
"세계식량계획","World Food Programme (WFP)"
"세관검사","Customs Inspection"
"세관원","Customs Inspector"
"세네갈(Republic of Senegal)의회","National Assembly"
"세입세제분석팀","Revenue & Tax Analysis Team"
"소방방재청","National Emergency Management Agency"
"소비자보호원(KCPB)","Korea Consumer Protection Board"
"소선거구","Small Constituency / Single Member District"
"소수당","Minority party"
"속기1과","Stenography Division I"
"속기2과","Stenography Division II"
"속기사","Stenographer"
"수서과","Acquisition & Exchange Division"
"수서정리국","Acquisition & Processing Bureau"
"수석전문위원","Senior Staff Director / Chief Counsel"
"수석전문위원","Senior Staff Director (Chief Counsel)"
"수속대","Check-in Counter"
"수정동의","Motion for Amendment"
"수정안","Amendment Bill"
"수하물","Luggage / Baggage"
"수하물찾는곳","Baggage Claim"
"수행원","Accompanying Staff / Delegation Staff (Member of Suite / Delegation Secretary / Member of Entourage)"
"수협중앙회(NFFC)","National Federation of Fisheries Cooperatives"
"스리랑카(Democratic Socialist Republic of Sri Lanka)의회","Parliament"
"스웨덴(Kingdom of Sweden)의회","Parliament"
"스위스 의회 관련 용어","스위스(Switzerland / Swiss Confederation)의회 : Federal Assembly"
"스페인 의회 관련 용어","스페인(Kingdom of Spain)의회 : General Courts / National Assembly"
"슬로바키아(Slovakia / Slovak Republic)의회","National Council of the Slovak Republic"
"승무원","Crew"
"승인","Approval"
"시","City"
"시(도)지부장","Chairman of the Regional Party Chapter"
"시·군법원","Municipal Court(s)"
"시군법원판사","Municipal Judge"
"시민사회수석","Senior Secretary to the President for Civil Society"
"시설관리과","Management & Construction Division"
"시설심의관","Maintenance Counsel"
"시장","Head of City / Mayor"
"시장(특별시광역시)","Mayor"
"시정연설","State-of-the-Nation Address / Presidential Address Before the Regular Session of the National Assembly"
"시행규칙","Enforcement Regulations"
"식품의약품안전청","Food and Drug Administration"
"신문열람실","Newspaper Reading Room"
"신민주공화당(NDRP)","New Democratic Republican Party"
"신상발언","Speech on Personal Matters"
"신용보증기금(KCGF)","Korea Credit Guarantee Fund"
"신정사회당(NSP)","New Socialist Party of Korea"
"신한국당(NKP)","New Korea Party"
"신한민주당(NKDP)","New Korea Democratic Party"
"신행정수도건설추진위원회","Presidential Committee on Administrative Capital Relocation"
"실무회의","Working Groups"
"실장","Deputy Minister"
"심사","Examination / Deliberation / Consideration"
"심사보고","Deliberation Report"
"심의관(2-3급)","Director General (of Bureau)"
"심의관(3급)","Deputy Director-General (of Bureau)"
"싱가포르(Republic of Singapore)의회","Parliament"
"아르헨티나 의회 관련 용어","아르헨티나(Argentina / Argentine Republic)의회 : National Congress"
"아시아유럽재단청년의원회의","Asia-Europe Foundation (ASEF) Young Parliamentarians Meeting (YPM)"
"아시아태평양문화센타","Asian-Pacific Cultural Center (APCC)"
"아일랜드 의회 관련 용어","아일랜드(Ireland)의회 : Parliament"
"아태민주지도자회의","Forum of Democratic Leaders in the Asia-Pacific"
"안건","Agenda Item"
"알제리 의회 관련 용어","알제리(People's Democratic Republic of Algeria)의회 : Parliament"
"야당","Opposition Party"
"양원제","Bicameral Legislature / Two-house System"
"양해각서(MOU)","Memorandum of Understanding"
"양해록(ROU)","Record of Understanding?"
"언론중재위원회(PAC)","Press Arbitration Commission"
"업무조정비서관","Secretary to the President for Coordination"
"에너지관리공단(KEMCO)","Korea Energy Management Corporation"
"에콰도르(Republic of Ecuador)의회","National Congress"
"여객시간표","Passenger Timetable"
"여당","Ruling Party / Government Party"
"여성개발원(KWDI)","Korean Women's Development Institute"
"여성부","Ministry of Gender Equality"
"여성위원회","Women's Affairs Committee"
"여성의원회의","Meeting of Women Parliamentarians"
"여성의원회의조정위원회","Coordinating Committee of the Meeting of Women MPs"
"여성표","Women's Votes"
"여소야대","Opposition-dominated National Assembly / Divided Government / Small Ruling Party-Big Opposition Party?"
"여승무원","Stewardess"
"여정","Itinerary"
"여행자휴대품신고서(세관신고서)","Customs Declaration"
"연구개발정보센터(KORDIC)","Korea Research & Development Information Center"
"연맹사무국","The Secretariat"
"연석회의","Joint Meeting"
"연설팀","Presidential Speech Team"
"연속간행물과","Serials Division"
"연수(미국의회)","To receive training at the U.S. Congress in Washington D.C. from March 1 to July 31, 2004"
"연수국","Training Affairs Bureau"
"연차총회","Annual Meeting"
"열람봉사과","Circulation Division"
"열람실","Reading Room"
"열람증","Reader's Ticket"
"열린우리당","Uri Party"
"영국 의회 관련 용어","의회 : Parliament"
"영국 정당명","노동당(LP) : Labour Party"
"영등포지구당위원장","Chairman of the Yeoungdeungpo District？ Party Chapter"
"영사","Consul"
"영사관","Consulate"
"예금보험공사","Korea Deposit Insurance Corporation"
"예방","Courtesy Call"
"예비선거","Preliminary Election / Primary Election / Primaries"
"예비심사","Preliminary Examination"
"예산결산특별위원회","Special Committee on Budget and Accounts"
"예산분석실","Budget Analysis Office"
"예산분석심의관","Budget Analysis Counsel"
"예산안","Budget Estimates / Budget Bill"
"예산정책처장","Director of NABO"
"예약","Reservation (예약재확인"
"오스트리아 의회 관련 용어","오스트리아(Republic of Austria)의회 : Federal Assembly"
"외교관여권","Diplomatic Passport"
"외교단","Diplomatic Corps"
"외교단장","Dean of the Diplomatic Corps"
"외교보좌관","Advisor to the President for Foreign Affairs"
"외교통상부","Ministry of Foreign Affairs and Trade"
"외국항공사","Foreign Carrier"
"요르단 의회 관련 용어","요르단(Hashemite Kingdom of Jordan)의회 : National Assembly"
"우루과이 의회 관련 용어","우루과이(Oriental Republic of Uruguay)의회 : General Assembly"
"우즈베키스탄(Republic of Uzbekistan)의회","Supreme Assembly"
"우크라이나(Ukraine)의회","Supreme Council"
"운영위원회","Steering Committee"
"운영위원회","Steering Committee"
"울산시지부장","Chairman of the Ulsan Metropolitan City Regional？ Party Chapter"
"원내대표","Floor Leader"
"원내부대표","Deputy Floor Leader"
"원내수석부대표","Senior Deputy Floor Leader"
"원자력병원(KCCH)","Korea Cancer Center Hospital"
"위원","Member"
"위원장","Chair / Chairperson / Chairman , Chairwoman"
"위원회","Committee"
"위원회","Committee"
"위원회시찰단","Parliamentary Committee Delegation"
"위원회안","Committee Bill (Bill Proposed by Committee)"
"위원회직원","Committee Staff"
"위원회직원","Committee Staff"
"위원회폐기의안","Bill Abrogated by Committee"
"위원회회의","Committee Meeting"
"위임입법","Delegated Legislation (행정입법? Administrative Legislation)"
"유권자","Voter / Elector"
"유럽안보협력기구의회회의","OSCE Parliamentary Assembly"
"유엔개발계획","UN Development Programme (UNDP)"
"유엔경제사회이사회","UN Economic and Social Council (ECOSOC)"
"유엔난민고등판무관실","Office of the UN High Commissioner for Refugees (UNHCR)"
"유엔마약통제계획","UN International Drug Control Programme (UNDCP)"
"유엔무역개발회의","UN Conference on Trade and Development (UNCTAD)"
"유엔본부","UN Headquarters"
"유엔사무국","UN Secretariat"
"유엔사무총장","UN Secretary General"
"유엔신탁통치이사회","UN Trusteeship Council"
"유엔아동기금","UN Children's Fund(UNICEF)"
"유엔안전보장이사회","UN Security Council (UNSC)"
"유엔인간정착프로그램","UN Human Settlements Programme (UN-HABITAT)"
"유엔인구활동기금","UN Population Fund (UNFPA)"
"유엔인권고등판무관실","Office of the United Nations High Commissioner for Human Rights (OHCHR)"
"유엔총회","UN General Assembly (UNGA)"
"유엔총회의장","President of the UN General Assembly"
"유엔팔레스타인난민구호사업기구","United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)"
"유엔헌장","UN Charter"
"유엔환경계획","UN Environment Programme (UNEP)"
"유학(오리건대학에서경제학전공)","To study Economics at the University of Oregon from September 1, 2004 to May 28, 2006"
"윤리심사","Ethics Review / Examination on Ethics"
"윤리특별위원회","Special Committee on Ethics"
"윤리특별위원회","Special Committee on Ethics"
"읍면동리","Eup,Myon,Dong,Ri (Sub-district / Village)"
"의결","Resolution / Decision"
"의결정족수","Quorum for Voting"
"의문사진상규명위원회","Presidential Truth Commission on Suspicious Deaths"
"의사","Proceedings"
"의사과","Proceedings Division"
"의사국","Proceedings Bureau"
"의사일정","Order of Business / Agenda"
"의사일정미료안건","Uncompleted Bills on the Agenda / Unfinished Business"
"의사일정변경","Amendment to / Change of the (Draft) Agenda"
"의사일정작성","Preparation / Establishment of the Order of Business / Parliamentary Agenda"
"의사정족수","Quorum for Proceedings"
"의사진행발언","Point-of-Order"
"의사진행방해","Filibuster / Obstruction"
"의석배정","Arrangement of Seats"
"의안","Bills / Proposals"
"의안과","Bills Division"
"의원방문외교","Overseas Visit for Parliamentary Diplomacy"
"의원보좌직원교육","Training for Members' Staff"
"의원연구단체","Members' Study Group"
"의원열람실","Members' Reading Room"
"의원외교협의회(4개협의회)","Inter-Parliamentary Councils"
"의원초청외교","Invitation of Foreign Parliamentary Delegation /?Parliamentary Diplomacy by Invitation"
"의원총회","Party Caucus"
"의원총회","Party Caucus"
"의원친선협회","Parliamentarians' Friendship Associations"
"의원회관","Members' Office Building"
"의원회관","Members' Office Building"
"의장","Chairman"
"의장공관","Official Residence of the Speaker"
"의장비서실","Office of Secretaries to the Speaker"
"의장비서실장","Chief of Staff / Chief Secretary to the Speaker"
"의장실","Office of the Speaker"
"의장직무대행","Acting Speaker"
"의전과","Protocol Division"
"의전관","Protocol Officer"
"의전비서관","Secretary to the Speaker for Protocol & Diplomatic Affairs"
"의전실","Protocol Office"
"의정서","Protocol"
"의정연수과","Parliamentary Training Division"
"의향서(LOI)","Letter of Intent"
"의회민주주의","Parliamentary Democracy"
"의회법령자료과","Parliamentary & Legal Documents Division"
"의회법령자료실","Parliamentary & Legal Documents Reading Room"
"의회법제과","Parliamentary Legislation Division"
"의회사무총장협회(ASGP)","Association of Secretaries General of Parliaments"
"의회제도시찰(정계시찰차)","To observe the American legislative system in Washington D.C. from May 1 to 15, 2004 (또는 To observe the American political system)"
"이란(Islamic Republic of Iran)의회","Islamic Consultative Assembly"
"이륙","Take Off"
"이사","Executive Member"
"이사관(2급)","Grade 2 / Grade-II Official"
"이사회","Council"
"이사회의장","Chairman of the Council"
"이스라엘(State of Israel)의회","Knesset / Parliament"
"이집트 의회 관련 용어","이집트 상원 : Advisory Council"
"이탈리아 의회 관련 용어","이탈리아(Italy / Italian Republic)의회 : Parliament"
"인도 의회 관련 용어","인도(Republic of India)의회 : Parliament"
"인도네시아(Republic of Indonesia)의회","House of Representatives"
"인사수석","Senior Secretary to the President for Personnel Affairs"
"인사청문특별위원회","Special Committee on Appointment Hearing"
"인천공항세관","Incheon International Airport Customs"
"인천공항출입국관리사무소","Incheon International Airport Immigration Office"
"인천국제공항공사(IIAC)","Incheon International Airport Corporation"
"인천국제공항공사(IIAC)","Incheon International Airport Corporation"
"일등석(F)","F - First Class (KAL의 경우 Morning Calm Class (P석)도 일등석임)"
"일반계약직","General Contracted Service"
"일반석(Y)","Economy Class"
"일반여권","Passport"
"일반직","General Service"
"일본 의회 관련 용어","의회 : National Diet (Kokkai)"
"일본 정당명","자유민주당(LDP) : Liberal Democratic Party"
"임명동의","Confirmation / Appointment Consent"
"임시의장","Speaker pro tempore"
"임시회","Extraordinary Session"
"임시회","Extraordinary Session / Special Session"
"입국비자","Entry Visa"
"입국수속","Arrival Procedure"
"입국신고서","Arrival Card"
"입법","Legislation / Lawmaking"
"입법","Legislation / Lawmaking"
"입법과정(입법절차)","Legislative Process / Legislative Procedure"
"입법권","Legislative Power"
"입법권","Legislative Power"
"입법부","Legislative Branch / The Legislature"
"입법심의관","Senior Staff Member (Legislative Counsel)"
"입법심의관","Senior Staff Member / Legislative Counsel"
"입법예고","Preliminary Announcement on Legislation"
"입법자료수집차","To collect legislative information on the U.S.Congress in Washington D.C. from May 1 to 25, 2004"
"입법전자정보실","Legislative Information & Digital Library Management Office"
"입법정보심의관","Legislative Information Counselor"
"입법정보지원","Legislative Information Support"
"입법정보화담당관","Legislative Information Systems Officer"
"입법조사1과","Legislative Research Division 1"
"입법조사2과","Legislative Research Division 2"
"입법조사3과","Legislative Research Division 3"
"입법조사관","Staff Member / Legislative Researcher"
"입법조사관","Staff Member (Legislative Researcher)"
"입법차장","Deputy Secretary-General for Legislative Affairs"
"입후보","Candidacy / Candidature"
"입후보기탁금","Candidacy Deposit"
"입후보자","Candidate"
"자격심사","Examination on Credentials / Qualification"
"자동보도","Moving Side Walk"
"자유당(LP)","Liberal Party"
"자유민족당(FNP)","Free Nationalist Party"
"자유민주연합(ULD)","United Liberal Democrats"
"자치구","Autonomous District"
"장","Chapter"
"장관처장","Minister"
"장애인특위","Special Committee on Disability"
"재선거","Re-election"
"재외동포재단","Overseas Koreans Foundation"
"재의요구","Request for Reconsideration"
"재적의원","Assemblymen on the Register"
"재정경제부","Ministry of Finance & Economy"
"재정경제위원회","Finance and Economy Committee"
"재정정책분석팀","Fiscal Policy Analysis Team"
"재정제도개혁특위","Special Committee on Fiscal Reform"
"재직","Incumbency"
"재판관","Justice(s)"
"재판소장","President of the Constitutional Court"
"재해대책특위","Special Committee on Disaster Prevention and Management"
"전국경제인연합회(FKI)","Federation of Korean Industries"
"전국구","Nation-wide Proportional Seats"
"전국민주노동조합총연맹(KCTU)","Korean Confederation of Trade Unions"
"전권공사","Minister Plenipotentiary"
"전당대회","National Convention / Party Convention"
"전문","Preamble"
"전문(電文)","Telegraphic Message"
"전문계약직","Specialized Contracted Service"
"전문위원","Staff Director (Counsel)"
"전문위원","Staff Director / Counsel"
"전문위원검토보고","Report of the Committee Staff Director"
"전원위원회","Committee of the Whole"
"전자도서관","Digital Library"
"전자정보운영과","Information Technology Division"
"전자정보총괄과","Digital Library Administration Division"
"절","Section"
"접수","Acceptance"
"정간열람실","Periodicals Reading Room"
"정기간행물","Periodicals"
"정기회","Regular Session"
"정기회","Regular Session / Ordinary Session"
"정례회의","Regular Meeting"
"정리과","Classification & Cataloging Division"
"정무위원회","National Policy Committee"
"정무직","Political Service"
"정무팀","National Policy Team"
"정보검색","Information Retrieval"
"정보과학기술보좌관","Advisor to the President for Information,？?SAdvisor to the President for Information,？?Science and Technology"
"정보위원회","Intelligence Committee"
"정보자료팀","Information Services Team"
"정보통신부","Ministry of Information & Communication"
"정보통신정책연구원(KISDI)","Korea Information Strategy Development？ Institute"
"정부이송","Transfer to the Government"
"정부혁신지방분권위원회","Presidential Committee on Government Innovation & Decentralization"
"정책기획수석","Senior Secretary to the President for Policy Planning"
"정책기획위원회","Task Force for Policy Planning"
"정책기획위원회","Presidential Commission on Policy Planning"
"정책보좌관/정책특보","Policy Assistant (Secretary / Advisor) / Special Secretary (Assistant / Advisor) for Policy?"
"정책실장","Chief Secretary to the President for National Policy"
"정책위의장","Chairman of the Policy Committee"
"정책조정위원회부위원장","Vice Chairman of the Policy Planning？ and Coordination Committee"
"정치개혁특위","Special Committee on Political Reform"
"정치위원회","Political Committee"
"정회","Suspension"
"제1부속실장","Personal Secretary for the President"
"제2부속실장","Personal Secretary for the First Lady"
"제도개선비서관","Secretary to the President for Policy Process Reengineering"
"제명","Expulsion"
"제정","Establishment / Enactment"
"제헌국회","Constituent Assembly"
"제헌국회","Constituent Assembly"
"조","Article"
"조달청","Public Procurement Service"
"조약","Treaty"
"조직표","Organized Votes"
"종로지역구의원","Member of the National Assembly for Chongno?Electoral District"
"주사(6급)","Grade 6 / Grade-VI Official"
"주사보(7급)","Grade 7 / Grade-VII Official"
"주재관행정관","Attach"
"중간선거","Mid-term Election / Off-year Election / Interim Election"
"중국(People's Republic of China)의회","National People's Congress"
"중국국제항공(CA)","AIR CHINA"
"중동문제위원회","Committee on Middle East Questions"
"중선거구","Medium Constituency"
"중소기업청","Small & Medium Business Administration"
"중소기업특별위원회","Presidential Commission on Small and Medium Enterprises"
"중소기업협동조합중앙회(KFSB)","Korea Federation of Small and？ Medium Business"
"중앙사무국","Central Secretariat"
"중앙사무총장","Secretary-General, APPU Central Secretariat"
"중앙상무위상임중앙위","Central Standing Committee"
"중앙선거관리위원회","National Election Commission"
"중앙위원회","Central Committee"
"중앙인사위원회","Civil Service Commission"
"중진의원","Senior Member / Ranking Assemblyman"
"증인","Witness"
"지구당위원장","Chairman of the District Party Chapter"
"지방법원","District Court(s)"
"지방선거","Local Election"
"지방의원선거","Election of Regional Councillors"
"지방의회의원연수","Training for Representatives of Local Legislatures"
"지방자치단체장선거","Municipal and Gubernatorial Elections / Election of the Heads of Local Governments / Election of Governors and Mayors"
"지속가능개발위원회","Committee for Sustainable Development"
"지속가능발전위원회","Presidential Commission on Sustainable Development"
"지역구","Local District / Electoral District"
"지역구","Electoral District / Local District / Constituency"
"지원","Branch Court(s)"
"지정학적그룹","Geopolitical Groups"
"직능대표제","Functional (Vocational) Representation System"
"직원","Staff Assistant"
"직접선거","Direct Vote (간접선거 Indirect Vote)"
"진정","Appeal"
"집행위원회","APPF Executive Committee"
"집행위원회","Executive Committee"
"집회","Convocation"
"징계","Disciplinary Action / Discipline"
"차관","Vice Minister"
"차관보","Assistant Minister"
"차장(청의차장)","Deputy Administrator"
"착륙","Landing / Touch Down"
"찬반토론","Debate"
"참고봉사국","Reference & Reader Services Bureau"
"참고인","Reference"
"참관인","Voting Witness / Watcher"
"참사관","Counsellor"
"철도청","National Railroad"
"철회","Withdrawal"
"청가","Request for Leave"
"청문회","Hearing"
"청소년보호위원회","Commission on Youth Protection"
"청원","Petition"
"청원소개의원","Sponsor of Petition"
"청장","Administrator"
"체계자구심사","Examination of Legality and Wording"
"체코 의회 관련 용어","체코(Czech Republic)의회 : Parliament"
"초선의원의정연찬회","Orientation for First-Term Members"
"총리령","Ordinances of the Prime Minister"
"총무과","General Services Division"
"총무과","General Affairs Division"
"총무팀","General Services Team"
"총무팀","General Affairs Team"
"총선거(국회의원)","General Election"
"총영사","Consul-General"
"총영사관","Consulate-General"
"총재당의장","Chairperson (Chairman / Chairwoman)"
"총회","Inter-Parliamentary Assembly / IPU Assembly"
"총회","General Assembly"
"총회의장","President of the APPU"
"최연장의원","The Eldest Member"
"축조심사","Article-by-Article Deliberation"
"축조심사","Article-by-Article Deliberation"
"축조심사회의(美)","Business Meeting"
"출국수속","Departure Procedure"
"출국신고서","Departure Card Embarkation, D"
"출발예정시간","ETD (Estimated Time of Departure)"
"출석의원","Assemblymen Present"
"출입국신고서","E/D Card(E"
"칠레 의회 관련 용어","칠레(Republic of Chile)의회 : National Congress"
"카자흐스탄 의회 관련 용어","카자흐스탄(Republic of Kazakstan)의회 : Parliament"
"캐나다 의회 관련 용어","캐나다(Canada)의회 : Parliament"
"케냐(Republic of Kenya)의회","National Assembly"
"코스타리카(Republic of Costa Rica)의회","Legislative Assembly"
"코트디브와르(Republic of Cote d'Ivoire)의회","National Assembly"
"콜롬비아 의회 관련 용어","콜롬비아(Republic of Colombia)의회 : Congress"
"쿠웨이트(State of Kuwait)의회","National Assembly"
"탄핵소추","Impeachment"
"탑승구","Gate (17번 탑승구? Gate 17)"
"탑승권","Boarding Pass (탑승? Reconfirmation)"
"탑승대기실","Boarding Room / Waiting Room"
"탑승동","Concourse Boarding, 여권"
"태국 의회 관련 용어","태국(Kingdom of Thailand)의회 : National Assembly"
"터키(Republic of Turkey)의회","Grand National Assembly"
"통계청","National Statistical Office"
"통과비자","Transit Visa"
"통과여객","Transit Passenger"
"통과여객대합실","Transit Passenger Lounge"
"통일국민당(UPP)","United People's Party"
"통일민주당(PRD)","Party for the Reunification and Democracy"
"통일부","Ministry of Unification"
"통일연구원(KINU)","Korea Institute for National Unification"
"통일외교통상위원회","Unification, Foreign Affairs and Trade Committee"
"퇴직","Retirement"
"투표","Voting / Ballot"
"투표소","Polling Station (Booth)"
"투표율","Voter Turnout"
"투표함","Ballot Box"
"투표함","Ballot Box"
"튀니지(Tunisia / Tunisian Republic)의회","Chamber of Deputies"
"특명전권공사","Minister E.&P.?(Extraordinary and Plenipotentiary)"
"특명전권대사","Ambassador E.&P. (Extraordinary and Plenipotentiary)"
"특별시","Special Metropolitan City"
"특별위원회","Special Committee"
"특별위원회","Special Committee"
"특별위원회","Special Committee"
"특수경력직공무원","Public Officials in Non-Career Service"
"특정직","Special Service"
"특허법원","Patent Court"
"특허청","Intellectual Property Office"
"파나마(Republic of Panama)의회","Legislative Assembly"
"파라과이 의회 관련 용어","파라과이(Republic of Paraguay)의회 : Congress"
"파키스탄 의회 관련 용어","파키스탄(Islamic Republic of Pakistan)의회 : Parliament"
"페루(Republic of Peru)의회","Congress of the Republic of Peru"
"편명","Flight"
"평등선거","Equal Vote"
"평화민주당(PPD)","Party for Peace and Democracy"
"평화유지군","Peace Keeping Mission (PKM)"
"평화유지활동","Peace Keeping Operations (PKO)"
"폐지","Abolition"
"폐회식","Closing Ceremony"
"포르투갈(Portugal / Portuguese Republic)의회","Assembly of the Republic"
"폴란드 의회 관련 용어","폴란드(Republic of Poland)의회 : National Assembly"
"표","Votes"
"표결","Voting"
"표결사","Tally Clerk"
"프랑스 의회 관련 용어","프랑스(France / French Republic)의회 : Parliament"
"프랑스 정당명","국민운동연합(UMP) : Union for a Popular Movement"
"핀란드(Republic of Finland)의회","Parliament"
"필리핀 의회 관련 용어","필리핀(Republic of the Philippines)의회 : Congress"
"학위논문","Thesis / Dissertation"
"한?구주의원외교협의회","The Korea-EU Inter-Parliamentary Council"
"한?러의원외교협의회","The Korea-Russia Inter-Parliamentary Council"
"한?미의원외교협의회","The Korea-US Inter-Parliamentary Council"
"한?중의원외교협의회","The Korea-China Inter-Parliamentary Council"
"한국가스공사(KOGAS)","Korea Gas Corporation"
"한국가스안전공사(KGS)","Korea Gas Safety Corporation"
"한국감정원(KAB)","Korea Appraisal Board"
"한국개발연구원(KDI)","Korea Development Institute"
"한국갱생보호공단","Korea Rehabititation Agency"
"한국경영자총협회(KEF)","Korea Employers Federation"
"한국공항공사(KAC)","Korea Airports Corporation"
"한국공항공사(KAC)","Korea Airports Corporation"
"한국과학기술기획평가원","Korea Institute & Science & Technology and Planning"
"한국과학기술원(KAIST)","Korea Advanced Institute of Science &?Technology"
"한국과학재단(KOSEF)","Korea Science and Engineering Foundation"
"한국관광공사(KNTO)","Korea National Tourism Organization"
"한국교원단체총연합회(KFTA)","Korea Federation of Teachers' Associations"
"한국교육개발원(KEDI)","Korean Educational Development Institute"
"한국교육방송공사(EBS)","Korea Educational Broadcasting System"
"한국국민당(KNP)","Korea National Party"
"한국국제교류재단","Korea Foundation"
"한국국제협력단","Korea International Cooperation Agency"
"한국기계연구원(KIMM)","Korea Institute of Machinery & Materials"
"한국노동연구원(KLI)","Korea Labor Institute"
"한국노동조합총연맹(FKTU)","Federation of Korean Trade Unions"
"한국도로공사(KHC)","Korea Highway Corporation"
"한국마사회(KRA)","Korea Racing Association"
"한국무역협회(KITA)","Korea International Trade Association"
"한국방송(KBS)","Korean Broadcasting System"
"한국방송광고공사(KOBACO)","Korea Broadcasting Advertising Corporation"
"한국법제연구원(KLRI)","Korea Legislation Research Institute"
"한국보건사회연구원(KIHASA)","Korea Institute for Health and Social Affairs"
"한국산업안전공단(KOSHA)","Korea Occupational Safety &Health Agency"
"한국산업은행(KDB)","Korea Development Bank"
"한국생명공학연구원(KRIBB)","Korea Research Institute of Bioscience & Biotechnology"
"한국석유공사(KNOC)","Korea National Oil Corporation"
"한국소비자보호원","Korea Consumer Protection Board"
"한국수자원공사(KOWACO)","Korea Water Resources Corporation"
"한국수출보험공사(KEIC)","Korea Export Insurance Corporation"
"한국수출입은행(EXIM)","The Export Import Bank of Korea"
"한국신당","New Korean Party of the Hope"
"한국아동?인구?환경의원연맹","The Korean Parliamentary League on Children, Population and Environment"
"한국아동인구환경의원연맹","Korean Parliamentary League on Children, Population and Environment"
"한국에너지기술연구원(KIER)","Korea Institute of Energy Research"
"한국원자력안전기술원(KINS)","Korea Institute of Nuclear Safety"
"한국원자력연구소(KAERI)","Korea Atomic Energy Research Institute"
"한국은행(BOK)","Bank of Korea"
"한국의원단","The Korean National Group, APPU"
"한국의원단","Inter-Parliamentary Group of the Republic of Korea"
"한국의회발전연구회","Korean Legislative Studies Institute"
"한국자산관리공사(KAMCO)","Korea Asset Management Corporation"
"한국자원재생공사(KORECO)","Korea Resources Recovery & Reutilization Corporation"
"한국자유총연맹(KFL)","Korea Freedom League"
"한국장애인고용촉진공단(KEPAD)","Korean Employment Promotion Agency for the Disabled"
"한국전기연구원(KERI)","Korea Electrotechnology Research Institute"
"한국전력공사(KEPCO)","Korea Electric Power Corporation"
"한국전산원(NCA)","National Computerization Agency"
"한국정보통신교육원(AIIT)","Advanced Institute of Information Technology"
"한국정신문화연구원(AKS)","Academy of Korean Studies"
"한국정치발전연구회","Korean Research Institute for Political Development"
"한국정치학회","Korean Political Science Association"
"한국조세연구원(KIPF)","Korea Institute of Public Finance"
"한국조폐공사(KOMSCO)","Korea Minting & Security Printing Corporation"
"한국증권거래소(KSE)","Korea Stock Exchange"
"한국지질자원연구원(KIGAM)","Korea Institute of Geoscience & Mineral Resources"
"한국토지공사(KLC)","Korea Land Corporation"
"한국표준과학연구원(KRISS)","Korea Research Institute of Standards and Science"
"한국학술진흥재단(KRF)","Korea Research Foundation"
"한국항공우주연구소(KARI)","Korea Aerospace Research Institute"
"한국행정연구원(KIPA)","Korea Institute of Public Administration"
"한국형사정책연구원(KIC)","Korean Institute of Criminology"
"한국화학연구원(KRICT)","Korea Research Institute of Chemical Technology"
"한나라당(GNP)","Grand National Party"
"한세정책연구원","Ko-World Policy Institute"
"한일의원연맹","The Korea-Japan Parliamentarians' Union"
"한일의원연맹","Korea-Japan Parliamentarians' Union"
"한캐나다의원친선협회","The Korea-Canada Parliamentarians' Friendship Association"
"합동연설","Joint Election Speech"
"합의각서(MOA)","Memorandum of Agreement"
"항","Paragraph"
